,Temperature,Humidity,GasLevels,TimeOfDay,FoodType,StorageDuration,Spoiled
51,26.93451249,73.72876009,100.2306895,Afternoon,Meat,20,NotSpoiled
52,22.44597431,78.86293195,115.7618473,Afternoon,Meat,14,NotSpoiled
53,19.09683908,69.44741004,94.02514253,Afternoon,Vegetable,10,NotSpoiled
54,24.85908886,54.99671624,122.1130235,Afternoon,Fruit,21,NotSpoiled
55,27.14165935,61.81495859,118.1560522,Evening,Vegetable,2,NotSpoiled
56,25.33258611,78.18839373,92.67705969,Afternoon,Meat,8,NotSpoiled
57,26.51235949,71.40495907,114.6018764,Afternoon,Meat,3,NotSpoiled
58,21.82838953,76.49829635,97.41318261,Evening,Vegetable,27,NotSpoiled
59,23.18629417,74.34788805,101.8589987,Evening,Meat,19,NotSpoiled
60,21.63769776,67.95039448,121.4771706,Evening,Fruit,5,NotSpoiled
61,23.20223419,68.25993162,148.7736799,Morning,Vegetable,19,NotSpoiled
62,20.93426859,88.5710227,72.07569267,Evening,Fruit,4,NotSpoiled
63,16.36858699,74.14674267,93.39337561,Morning,Fruit,10,NotSpoiled
64,25.88713071,68.7141245,123.2052014,Evening,Fruit,11,NotSpoiled
65,22.99109532,74.55419991,95.11517806,Afternoon,Vegetable,12,NotSpoiled
66,16.84900827,72.2290582,91.41275274,Evening,Fruit,6,NotSpoiled
67,27.31391128,48.42643627,133.3537836,Evening,Meat,27,NotSpoiled
68,20.46350818,76.50084514,98.78327055,Evening,Fruit,25,NotSpoiled
69,25.25972698,88.20939274,115.7459614,Morning,Meat,29,NotSpoiled
70,28.64545281,62.19720132,93.81328199,Afternoon,Fruit,5,NotSpoiled
71,25.64491455,84.54035749,68.82724742,Evening,Fruit,12,NotSpoiled
72,30.69700342,67.43130303,89.77797302,Morning,Meat,7,Spoiled
73,18.8258709,72.93471398,113.6753207,Afternoon,Fruit,23,NotSpoiled
74,27.01170821,80.70360017,103.8596454,Evening,Vegetable,17,NotSpoiled
75,21.57594955,62.79998569,84.04277802,Evening,Fruit,4,NotSpoiled
76,20.64601425,82.42493913,141.277432,Morning,Fruit,21,NotSpoiled
77,22.10575168,57.85782719,102.3579077,Morning,Vegetable,3,NotSpoiled
78,23.44223734,61.24845251,80.09279969,Evening,Fruit,13,NotSpoiled
79,25.28082671,64.06479683,125.9902482,Afternoon,Vegetable,4,NotSpoiled
80,19.1742508,76.62005366,118.3320574,Morning,Fruit,7,NotSpoiled
81,29.50413243,66.59125589,88.80131413,Afternoon,Meat,10,NotSpoiled
82,27.3283122,54.8002554,113.0834886,Morning,Vegetable,29,NotSpoiled
83,17.31878157,67.83467128,115.8109427,Evening,Meat,8,NotSpoiled
84,32.44126097,62.15778617,109.2468263,Evening,Meat,16,Spoiled
85,34.47944588,77.31293621,102.5970878,Evening,Vegetable,12,Spoiled
86,30.89389786,66.56764946,64.63844039,Morning,Fruit,22,Spoiled
87,24.10037582,70.70774076,93.53238787,Afternoon,Meat,22,NotSpoiled
88,19.64623689,65.94527543,98.94170935,Afternoon,Fruit,22,NotSpoiled
89,30.27225863,74.33938968,88.33274329,Morning,Meat,15,Spoiled
90,22.98411527,68.16409237,92.87508099,Morning,Meat,12,NotSpoiled
91,31.11222535,73.25198715,114.0301426,Afternoon,Meat,2,Spoiled
92,26.04137489,44.06611435,90.02594241,Morning,Vegetable,13,NotSpoiled
93,29.88319518,70.97250877,66.07656006,Morning,Vegetable,11,NotSpoiled
94,26.78183199,74.1391367,87.48343037,Morning,Fruit,24,NotSpoiled
95,28.53286584,68.00719945,89.2883258,Evening,Fruit,6,NotSpoiled
96,25.0525001,76.69392471,96.76217314,Morning,Meat,17,NotSpoiled
97,33.92935247,77.38607029,75.46479406,Evening,Fruit,16,Spoiled
98,25.63456046,83.04213892,93.78723773,Evening,Meat,6,NotSpoiled
99,27.00994682,71.04811608,82.46279184,Evening,Meat,13,NotSpoiled
100,34.41575349,50.86199295,115.5909436,Morning,Vegetable,20,Spoiled
101,18.26120469,47.14500551,96.12922335,Morning,Vegetable,19,NotSpoiled
102,18.64757501,53.98159048,110.9513709,Afternoon,Meat,25,NotSpoiled
103,29.84698354,69.62092939,105.5362385,Morning,Meat,21,NotSpoiled
104,19.13438297,68.42694712,74.30858677,Morning,Vegetable,17,NotSpoiled
105,34.71810593,72.76239852,99.15280938,Evening,Fruit,16,Spoiled
106,22.9319051,63.74754077,133.3976869,Morning,Vegetable,15,NotSpoiled
107,21.26272594,62.63508828,67.78299161,Morning,Fruit,6,NotSpoiled
108,34.61471013,75.55047942,118.9569351,Morning,Vegetable,5,Spoiled
109,32.40257396,76.55924411,101.9729273,Afternoon,Meat,29,Spoiled
110,34.3377948,67.43349865,69.7867165,Evening,Meat,24,Spoiled
111,29.53022329,69.61523342,111.4683238,Afternoon,Vegetable,4,NotSpoiled
112,20.69387157,74.04314343,120.069088,Evening,Fruit,21,NotSpoiled
113,34.55032477,75.04343575,98.78018337,Morning,Meat,23,Spoiled
114,23.65998315,58.560193,106.1433027,Afternoon,Vegetable,11,NotSpoiled
115,29.01228198,62.80426144,136.4478502,Afternoon,Vegetable,24,NotSpoiled
116,29.73625984,57.69453954,87.89164504,Evening,Fruit,11,NotSpoiled
117,24.22494953,64.93093385,136.5603068,Morning,Vegetable,8,NotSpoiled
118,28.07039685,78.12333589,132.8357662,Morning,Fruit,21,NotSpoiled
119,29.61103336,75.46271867,73.4941344,Evening,Vegetable,8,NotSpoiled
120,26.88212766,59.0190204,102.4708198,Morning,Meat,22,NotSpoiled
121,19.50299605,75.12266727,101.3386466,Morning,Fruit,2,NotSpoiled
122,26.49119087,70.85843105,125.8682085,Morning,Fruit,21,NotSpoiled
123,31.63192948,65.06073293,123.3815793,Afternoon,Vegetable,11,Spoiled
124,21.5271607,55.93540345,130.2031884,Morning,Meat,28,NotSpoiled
125,24.2518273,68.25176628,67.61353325,Afternoon,Vegetable,21,NotSpoiled
126,22.82423224,76.79944006,127.5431143,Morning,Vegetable,4,NotSpoiled
127,34.24631864,48.36902352,111.35833,Afternoon,Vegetable,14,Spoiled
128,28.36147379,66.03876802,63.22654149,Evening,Meat,1,NotSpoiled
129,27.03730918,92.54283699,126.2616518,Afternoon,Fruit,8,NotSpoiled
130,21.15041963,76.72636719,77.85815648,Evening,Meat,7,NotSpoiled
131,27.69624596,72.59832495,115.4591772,Morning,Meat,26,NotSpoiled
132,21.6283367,62.6281483,88.2783623,Morning,Vegetable,15,NotSpoiled
133,25.15915279,63.21670162,95.88320739,Morning,Meat,23,NotSpoiled
134,21.82076961,69.16711604,108.8720799,Afternoon,Fruit,23,NotSpoiled
135,28.38216647,86.02863629,95.80603216,Evening,Fruit,9,NotSpoiled
136,27.88295408,74.65589191,70.95654516,Afternoon,Meat,21,NotSpoiled
137,23.95850622,61.27841602,106.116057,Morning,Meat,5,NotSpoiled
138,26.98003356,81.76786962,76.94960041,Evening,Vegetable,23,NotSpoiled
139,19.53469246,67.07405793,110.8871112,Morning,Vegetable,5,NotSpoiled
140,17.54371204,86.97346481,74.95460365,Evening,Meat,1,NotSpoiled
141,27.19695851,64.33396975,102.7866708,Morning,Meat,1,NotSpoiled
142,25.83336748,59.96734243,107.284158,Afternoon,Vegetable,20,NotSpoiled
143,28.17515718,71.74629578,140.2743469,Morning,Vegetable,17,NotSpoiled
144,36.91572387,79.82326984,61.24805181,Morning,Meat,12,Spoiled
145,29.72239743,80.37444797,106.323204,Evening,Vegetable,10,NotSpoiled
146,20.43588887,71.59191767,74.79327561,Evening,Fruit,4,NotSpoiled
147,30.58508144,60.11903312,109.5722582,Morning,Vegetable,17,Spoiled
148,18.42046295,64.94659278,97.75504471,Morning,Meat,18,NotSpoiled
149,22.69207698,49.81718132,115.3836181,Morning,Meat,23,NotSpoiled
150,24.65879197,60.86878462,128.3237137,Morning,Fruit,16,NotSpoiled
151,33.56671361,68.21543185,93.25072004,Morning,Meat,18,Spoiled
152,21.27622589,73.89002141,99.73259719,Morning,Fruit,13,NotSpoiled
153,20.86780731,66.60545679,118.0828457,Afternoon,Meat,3,NotSpoiled
154,24.50773738,69.43020945,89.41717715,Evening,Vegetable,12,NotSpoiled
155,21.68260857,66.03814555,108.063286,Evening,Fruit,25,NotSpoiled
156,30.63317961,77.51025304,116.7771788,Morning,Meat,25,Spoiled
157,19.60034246,61.00887062,78.47624301,Evening,Fruit,1,NotSpoiled
158,19.26265674,78.37547914,69.50054912,Morning,Fruit,17,NotSpoiled
159,22.81089978,89.60880813,103.5142583,Evening,Vegetable,1,NotSpoiled
160,22.50983775,74.72789656,117.5345252,Afternoon,Meat,9,NotSpoiled
161,34.64766027,64.7290839,69.90066267,Evening,Meat,4,Spoiled
162,29.74710403,64.63729856,109.8218762,Evening,Vegetable,16,NotSpoiled
163,25.43775621,82.09837222,92.69214587,Morning,Fruit,17,NotSpoiled
164,18.87282241,58.73410574,96.56792914,Evening,Vegetable,3,NotSpoiled
165,29.22181488,60.4619558,120.6331811,Afternoon,Vegetable,27,NotSpoiled
166,19.99892326,58.35551546,102.8100907,Evening,Meat,6,NotSpoiled
167,17.27614452,57.21486159,82.89830474,Evening,Vegetable,24,NotSpoiled
168,30.94014896,59.55183681,99.75490049,Evening,Meat,25,Spoiled
169,26.58471306,77.89904942,95.32755536,Afternoon,Fruit,21,NotSpoiled
170,29.60429412,81.02282565,94.37700643,Afternoon,Meat,13,NotSpoiled
171,26.59363826,63.02926928,123.5867055,Afternoon,Vegetable,24,NotSpoiled
172,29.28415306,72.07334046,86.90624239,Afternoon,Fruit,16,NotSpoiled
173,21.74487203,77.59156675,84.13775234,Morning,Vegetable,19,NotSpoiled
174,19.82878579,71.00564203,105.0090709,Morning,Meat,6,NotSpoiled
175,28.40797259,60.45057242,112.7782517,Morning,Fruit,21,NotSpoiled
176,20.98295168,55.29598265,97.32325116,Morning,Vegetable,22,NotSpoiled
177,21.55225111,80.10427553,75.3689674,Evening,Vegetable,3,NotSpoiled
178,22.72233748,74.96179412,102.1749286,Morning,Meat,13,NotSpoiled
179,25.0873958,75.76955893,148.4850973,Evening,Vegetable,17,NotSpoiled
180,23.23003044,58.92353099,111.3262659,Evening,Vegetable,21,NotSpoiled
181,18.12524353,72.34977193,66.75560112,Morning,Fruit,22,NotSpoiled
182,21.78190799,76.28999587,80.96708997,Afternoon,Fruit,5,NotSpoiled
183,13.88298424,73.14033844,101.8700138,Morning,Meat,28,NotSpoiled
184,28.12615726,62.54976783,110.8365409,Afternoon,Meat,12,NotSpoiled
185,16.98971172,80.1226051,86.08652887,Evening,Meat,13,NotSpoiled
186,19.4780833,54.72368052,143.2834586,Evening,Meat,16,NotSpoiled
187,25.2608254,79.28741925,110.7570507,Evening,Fruit,24,NotSpoiled
188,21.30218502,80.81055944,106.6528773,Morning,Meat,26,NotSpoiled
189,32.71507298,85.72330318,125.1389369,Morning,Fruit,9,Spoiled
190,18.53571545,66.5750781,104.9123786,Afternoon,Meat,15,NotSpoiled
191,26.33525435,60.00569983,60.69077996,Afternoon,Meat,14,NotSpoiled
192,24.80358591,77.93880362,92.11554572,Afternoon,Meat,27,NotSpoiled
193,19.15953251,63.00784721,87.21426643,Morning,Fruit,12,NotSpoiled
194,27.6163833,70.43995511,93.25387125,Evening,Vegetable,2,NotSpoiled
195,24.14226834,66.82537783,102.2805726,Afternoon,Meat,10,NotSpoiled
196,28.85895276,60.97928029,113.8501411,Afternoon,Meat,13,NotSpoiled
197,29.11752077,73.20999466,84.52473307,Evening,Fruit,7,NotSpoiled
198,35.81617975,56.07984083,84.69548482,Afternoon,Vegetable,19,Spoiled
199,31.68263975,75.92205682,98.44720517,Evening,Meat,10,Spoiled
200,23.15409081,60.33068912,111.5134062,Morning,Vegetable,28,NotSpoiled
201,23.80310411,52.68268654,111.0206798,Evening,Meat,6,NotSpoiled
202,30.49829798,69.49892541,112.0058677,Evening,Meat,29,Spoiled
203,28.27631865,74.31633853,122.1911653,Evening,Fruit,11,NotSpoiled
204,28.20065763,75.76934597,92.78029489,Evening,Vegetable,2,NotSpoiled
205,16.91521978,78.18353731,122.4025726,Evening,Meat,27,NotSpoiled
206,24.87836938,46.463596,106.6908849,Afternoon,Fruit,22,NotSpoiled
207,21.30984545,59.94855569,103.1579258,Evening,Fruit,24,NotSpoiled
208,26.399623,71.06652295,136.0288894,Morning,Meat,22,NotSpoiled
209,24.50924805,85.1900328,93.62510293,Evening,Fruit,22,NotSpoiled
210,29.55089454,77.83744494,84.67468732,Evening,Fruit,16,NotSpoiled
211,26.58609108,89.01340052,129.3030177,Evening,Meat,17,NotSpoiled
212,28.93163981,64.75060577,99.10281532,Evening,Fruit,5,NotSpoiled
213,22.66790452,72.74416995,122.1059724,Afternoon,Meat,2,NotSpoiled
214,20.27776872,59.00029192,107.9695506,Morning,Meat,24,NotSpoiled
215,22.94975153,65.9564778,64.95162151,Evening,Fruit,23,NotSpoiled
216,24.91489793,62.64704282,105.6204592,Afternoon,Meat,8,NotSpoiled
217,26.89575868,63.66011341,112.4921842,Morning,Meat,15,NotSpoiled
218,36.29654475,66.06550879,98.54907455,Afternoon,Fruit,18,Spoiled
219,24.78871424,70.0271754,112.4670209,Morning,Meat,10,NotSpoiled
220,20.220275,70.22212665,123.8435077,Afternoon,Fruit,9,NotSpoiled
221,23.27009112,75.4345344,129.4306444,Afternoon,Fruit,13,NotSpoiled
222,22.68202013,71.39988467,115.8394209,Morning,Vegetable,29,NotSpoiled
223,27.40740737,66.55954371,83.10485798,Evening,Fruit,28,NotSpoiled
224,17.29601493,64.77421458,102.4828888,Morning,Meat,4,NotSpoiled
225,25.31630997,66.9286828,85.72192579,Afternoon,Meat,22,NotSpoiled
226,25.78253269,65.50962859,90.79154418,Morning,Vegetable,14,NotSpoiled
227,26.16090518,74.90971055,90.48636689,Morning,Fruit,22,NotSpoiled
228,22.01341966,78.65525191,98.93202083,Morning,Meat,7,NotSpoiled
229,23.81039135,82.74044538,104.4375915,Afternoon,Vegetable,5,NotSpoiled
230,17.87969546,62.0229724,141.6778663,Afternoon,Meat,27,NotSpoiled
231,22.53340058,74.69372225,104.9503003,Evening,Meat,21,NotSpoiled
232,22.28569262,56.05320358,135.6549209,Afternoon,Meat,4,NotSpoiled
233,27.08025023,73.73174718,99.73021924,Evening,Meat,2,NotSpoiled
234,19.21908784,80.82672282,115.35943,Afternoon,Meat,12,NotSpoiled
235,28.90599051,68.50410498,92.89016593,Evening,Vegetable,21,NotSpoiled
236,32.47242272,80.72636047,100.7242406,Morning,Vegetable,17,Spoiled
237,14.65007487,58.6143213,85.66713172,Afternoon,Meat,11,NotSpoiled
238,27.13129365,61.11354717,113.85485,Evening,Meat,14,NotSpoiled
239,28.38454018,68.64190157,84.41732022,Afternoon,Meat,9,NotSpoiled
240,21.81281487,80.22210355,94.05157477,Evening,Fruit,19,NotSpoiled
241,23.01364093,65.82570544,104.4067217,Morning,Fruit,6,NotSpoiled
242,24.33559711,65.46446899,108.6996834,Afternoon,Fruit,9,NotSpoiled
243,23.5110456,60.08371642,110.4980707,Morning,Vegetable,23,NotSpoiled
244,23.45493515,72.02881044,90.52419076,Morning,Fruit,20,NotSpoiled
245,16.61998097,82.46695141,72.81359751,Morning,Meat,18,NotSpoiled
246,30.76165782,77.00680109,54.80048651,Morning,Meat,16,Spoiled
247,30.39809296,76.96650654,82.13037812,Evening,Vegetable,28,Spoiled
248,20.9331787,67.93025525,86.86569394,Afternoon,Meat,19,NotSpoiled
249,17.66787836,64.36690641,86.14019283,Morning,Meat,3,NotSpoiled
250,27.60532438,76.77245916,83.16692558,Evening,Meat,7,NotSpoiled
251,22.12106015,69.68088924,109.2124074,Evening,Meat,19,NotSpoiled
252,25.70976582,68.26391764,94.50195681,Morning,Fruit,7,NotSpoiled
253,23.40335791,78.98240622,97.25693827,Evening,Fruit,12,NotSpoiled
254,28.45769376,68.02212548,84.27431255,Evening,Meat,15,NotSpoiled
255,28.47374572,61.62223741,132.6355874,Evening,Vegetable,23,NotSpoiled
256,21.37201311,79.09188495,94.47948518,Afternoon,Vegetable,17,NotSpoiled
257,18.08318022,70.8071989,52.97694365,Afternoon,Meat,13,NotSpoiled
258,17.08530801,59.62970656,84.4553288,Evening,Fruit,1,NotSpoiled
259,28.0518969,58.87094105,73.43243239,Morning,Vegetable,18,NotSpoiled
260,19.05570371,70.95411876,71.97605601,Morning,Vegetable,1,NotSpoiled
261,22.46591823,93.37409661,109.2538575,Evening,Vegetable,28,NotSpoiled
262,22.01842981,66.07179396,147.6337281,Afternoon,Vegetable,21,NotSpoiled
263,24.73716352,66.63726141,75.82028355,Evening,Meat,11,NotSpoiled
264,15.31860097,85.23771198,91.6226511,Morning,Meat,19,NotSpoiled
265,25.94389298,69.427188,84.29357162,Afternoon,Vegetable,4,NotSpoiled
266,27.61945512,55.51533137,56.70897155,Morning,Meat,23,NotSpoiled
267,25.44211044,54.27203547,122.8916238,Morning,Vegetable,21,NotSpoiled
268,23.44556914,82.26663974,80.98996407,Evening,Meat,1,NotSpoiled
269,25.48700083,76.66354542,115.2824643,Afternoon,Vegetable,13,NotSpoiled
270,26.99523173,78.26125708,126.3897954,Evening,Fruit,15,NotSpoiled
271,11.13703622,69.42243442,97.59350651,Morning,Vegetable,17,NotSpoiled
272,34.77956154,62.73287974,78.91380908,Afternoon,Meat,1,Spoiled
273,26.95046661,67.82836884,44.82144952,Afternoon,Meat,29,NotSpoiled
274,21.73795709,71.36031217,113.1951084,Afternoon,Vegetable,23,NotSpoiled
275,23.04523312,61.61688844,142.8681102,Afternoon,Meat,18,NotSpoiled
276,27.46870889,75.6144991,90.98246122,Morning,Fruit,15,NotSpoiled
277,24.4194803,57.40403831,109.3021493,Morning,Meat,8,NotSpoiled
278,14.84657766,66.67241235,92.24511968,Evening,Fruit,21,NotSpoiled
279,35.32246431,67.95992128,87.86528864,Evening,Vegetable,20,Spoiled
280,24.44729671,63.08980187,130.7311778,Evening,Meat,26,NotSpoiled
281,30.10086356,47.94494645,103.4231379,Evening,Fruit,25,Spoiled
282,21.53975076,74.47869664,100.2712644,Evening,Vegetable,16,NotSpoiled
283,32.68188527,62.4424924,102.5704366,Evening,Vegetable,17,Spoiled
284,26.43171844,83.25707959,102.475702,Evening,Meat,22,NotSpoiled
285,28.04421917,66.58017722,67.74626845,Afternoon,Fruit,11,NotSpoiled
286,19.77373317,64.58640412,96.60187475,Morning,Meat,22,NotSpoiled
287,31.05572645,70.91521947,134.3758227,Evening,Vegetable,14,Spoiled
288,28.44909082,80.53439749,115.9055213,Morning,Vegetable,12,NotSpoiled
289,31.50923115,64.36592337,88.75627621,Evening,Fruit,6,Spoiled
290,21.8595622,80.14737695,103.8790055,Morning,Meat,3,NotSpoiled
291,22.59486441,84.40303641,125.206152,Morning,Fruit,2,NotSpoiled
292,36.51958349,79.90322811,106.6524629,Afternoon,Fruit,23,Spoiled
293,19.69992089,86.26431491,149.9198912,Afternoon,Meat,7,NotSpoiled
294,24.3202515,82.92646021,106.69745,Afternoon,Fruit,17,NotSpoiled
295,30.68445681,85.14882294,104.8817026,Evening,Meat,22,Spoiled
296,25.48862484,86.04326319,78.37050916,Evening,Meat,5,NotSpoiled
297,27.9147684,72.0806953,66.57578825,Evening,Fruit,1,NotSpoiled
298,23.00275485,65.707761,120.5890301,Afternoon,Fruit,27,NotSpoiled
299,26.85027944,47.37756365,92.088954,Morning,Fruit,14,NotSpoiled
300,18.46736574,56.7726688,84.70436057,Morning,Vegetable,26,NotSpoiled
301,33.2906534,65.51717201,111.2800302,Morning,Vegetable,15,Spoiled
302,24.40917977,66.18264913,87.72141385,Evening,Meat,1,NotSpoiled
303,21.59910898,68.47205537,114.1127323,Evening,Fruit,26,NotSpoiled
304,28.33191541,59.9923951,104.8214465,Evening,Fruit,17,NotSpoiled
305,22.69640106,54.04222389,87.49470904,Morning,Fruit,21,NotSpoiled
306,18.32870764,68.69776834,105.1519194,Afternoon,Vegetable,8,NotSpoiled
307,18.26641247,68.10582071,70.47000201,Morning,Fruit,13,NotSpoiled
308,28.46886576,61.92445958,108.7926104,Afternoon,Meat,17,NotSpoiled
309,24.20213281,62.57847838,89.73179075,Afternoon,Vegetable,9,NotSpoiled
310,24.3314922,60.59843408,99.26186957,Afternoon,Vegetable,6,NotSpoiled
311,30.38871903,66.03476261,124.681291,Evening,Meat,20,Spoiled
312,19.36587096,61.43697173,100.6218786,Morning,Vegetable,10,NotSpoiled
313,21.34661124,82.59875332,86.90757924,Afternoon,Meat,14,NotSpoiled
314,23.07560095,72.40996732,119.7285823,Afternoon,Meat,22,NotSpoiled
315,25.47175795,60.27682082,99.088852,Afternoon,Vegetable,27,NotSpoiled
316,24.78914274,67.19552219,124.0656422,Evening,Fruit,10,NotSpoiled
317,23.56556404,58.19714394,85.08275343,Afternoon,Meat,23,NotSpoiled
318,24.69186799,80.12168295,94.04308776,Afternoon,Fruit,9,NotSpoiled
319,24.46347362,83.84186725,80.35529395,Morning,Fruit,6,NotSpoiled
320,21.40197806,82.52001983,73.56349529,Evening,Vegetable,29,NotSpoiled
321,20.93503506,58.55307369,103.2671364,Afternoon,Meat,19,NotSpoiled
322,26.37258179,69.0873298,87.50065527,Morning,Vegetable,29,NotSpoiled
323,20.54542459,65.98429324,85.16575172,Evening,Vegetable,5,NotSpoiled
324,19.2132237,75.62013106,102.7244556,Morning,Vegetable,12,NotSpoiled
325,23.43853874,59.92090197,78.81101146,Afternoon,Meat,27,NotSpoiled
326,24.21166492,63.24108306,98.38052122,Evening,Fruit,5,NotSpoiled
327,36.28361749,65.86782972,89.50903636,Morning,Fruit,6,Spoiled
328,21.47649862,71.53288469,136.765317,Afternoon,Vegetable,5,NotSpoiled
329,29.71630362,76.94128708,83.2785695,Morning,Meat,8,NotSpoiled
330,28.73594167,66.71272307,72.81684228,Afternoon,Vegetable,25,NotSpoiled
331,19.05527522,76.63965076,88.93013654,Morning,Vegetable,21,NotSpoiled
332,28.86626489,78.22076357,103.0947314,Morning,Meat,3,NotSpoiled
333,19.0805968,67.86784763,82.4427745,Afternoon,Fruit,11,NotSpoiled
334,11.70413881,57.54341867,88.90953724,Morning,Vegetable,10,NotSpoiled
335,28.03159762,58.28809665,74.48221671,Morning,Fruit,8,NotSpoiled
336,16.22054708,75.91726975,83.05448804,Morning,Meat,27,NotSpoiled
337,27.25467231,65.23775564,106.7898028,Afternoon,Meat,9,NotSpoiled
338,21.57994551,52.87370677,117.7356788,Evening,Meat,15,NotSpoiled
339,33.29775398,76.12952368,107.9400162,Morning,Fruit,26,Spoiled
340,30.342547,71.29554521,119.2591929,Evening,Fruit,7,Spoiled
341,22.73307098,55.94032919,98.40546199,Morning,Vegetable,17,NotSpoiled
342,21.56081194,81.79419981,112.8968559,Afternoon,Fruit,16,NotSpoiled
343,18.92961298,78.36635987,108.093437,Afternoon,Vegetable,11,NotSpoiled
344,22.79538684,71.38745251,99.57434014,Evening,Vegetable,4,NotSpoiled
345,23.59822252,57.25680632,51.23734881,Morning,Vegetable,23,NotSpoiled
346,23.17653228,55.97669467,96.68578911,Afternoon,Vegetable,21,NotSpoiled
347,25.78351928,66.92931513,118.4471017,Morning,Meat,27,NotSpoiled
348,27.89260749,52.8608461,83.89021707,Morning,Meat,11,NotSpoiled
349,26.74827228,74.05080273,136.3531738,Morning,Vegetable,20,NotSpoiled
350,21.17928038,55.89176687,116.5315894,Afternoon,Vegetable,19,NotSpoiled
351,17.81104263,71.64912729,130.3703538,Evening,Vegetable,8,NotSpoiled
352,31.82265924,67.11868547,135.2690654,Morning,Fruit,29,Spoiled
353,21.55275408,77.11785268,57.98640813,Morning,Fruit,8,NotSpoiled
354,21.738532,60.62052405,119.1462481,Afternoon,Fruit,21,NotSpoiled
